"Something went wrong ","هناك خلل ما"
"About Your Invoice","عن فاتورتك"
"Dropshipping Import","إستيراد المنتجات"
"Something went wrong during order synchronization, please try again.","حدث خطأ خلال تزامن الطلب يرجى المحاولة مرة أخرى."
"Order(s) has been synchronized successfully.","تم تزامن الطلبات بنجاح."
"Knawat Product import has been stopped successfully.","تمَ ايقاف إستيراد المنتجات من قنوات بنجاح."
"Knawat Product import has been started successfully.","تم بدأ إستيراد المنتجات من قنوات بنجاح."
"Websites are not enabled for import.","المواقع غير مفعلة لإستيراد المنتجات."
"Please provide product sku.","الرجاء إدخال كود المنتج SKU."
"Something went wrong during get data from Knawat MP API. Please try again later.","حدث خلل ما أثناء تحميل البيانات من قنوات , يرجى المحاولة مرة اخرى."
"English","إنجليزي"
"Arabic","عربي"
"Turkish","تركي"
"Only Knawat Products","فقط منتجات قنوات"
"Please Enter Consumer Key and Consumer Secret Key to connect your store to Knawat.","الرَجاء إدخال Consumer Key و Secret لربط متجرك مع قنوات."
"Your store is not connected to Knawat, Please Enter valid consumer key and secret key","متجرج غير مربوط بقنوات الآن، يرجى إدخال Consumer Key و Secret."
"Some orders are not sycronized with knawat.com, Please synchronize it now.","بعض الطلبات لم يتم تزامنها مع قنوات، يرجى بدء التزامن الآن."
"Product Import","إستيراد المنتجات"
"Plugin auto import/update products from knawat.com in background on regular interval. But, if you want then you can manually start import.","هذه الإضافة يمكنها إستيراد وتحديث المنتجات من Knawat.com في الخلفية بشكل دوري. لكن، إذا اردت، يمكنك تشغيل الإستيراد بالضغط على الذر."
"Start product import","بدأ إستيراد المنتجات"
"Start Import","بدأ الإستيراد"
"Stop Import","توقيف الإستيراد"
"Are you sure? do you really want to stop import?","هل أنت متأكد؟ هل تريد فعلا توقيف الإستيراد؟"
"Product import is in-progress already. you can't start import now. Please find current import status below.","جاري إستيراد المنتجات الآن! لا يمكنك بدأ عملية إستيراد الآن. يمكنك متابعة حالة العملية الحالية بالاسفل."
"Imported : ","مستورد"
"Products","منتجات"
"Updated : ","محدَث"
"Skipped : ","تخطَي"
"Failed : ","فشل"
"Knawat Shipment & Tracking","معلومات الشحن من قنوات"
"Shipment Provider Name :","إسم شركة الشحن"
"Shipment Tracking Number :","رقم تتبع الشحنة"
"Track","تتبَع"
"""Order #"" .","طلب #"
%1,%1
"Order Information","معلومات الطلب"
"Shipping Address","عنوان الشَحن"
"Shipping Method","طريقة الشَحن"
"No shipping information available","معلومات الشحن غير متوفرة"
"Billing Address","عنوان الدَفع"
"Payment Method","طريقة الدَفع"
"Invoice #","فاتورة #"
"Items Invoiced","فاتورة الأغراض"
"Product Name","إسم المنتج"
"SKU","كود المنتج"
"Price","السَعر"
"Qty Invoiced","فاتورة الكميَة"
"Subtotal","المبلغ الإجمالي"
"Knawat","قنوات"
"Dropshipping","دروبشيبينج"
"General Configuration","الإعدادات"
"Knawat Consumer Key","Consumer Key"
"Knawat Consumer Secret","Consumer Secret"
"Products Batch Size","حجم حزمة المنتجات"
"Select Language","إختيار اللَغة"
"All Products","جميع المنتجات"
"Product Source","مصدر المنتج"
"Knawat Status","حالة قنوات"
